HR_UID,nameid,province,region,analysisTime,dates,compute_time,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,lastObsDate,cuminf_50,underasc_50,pointprevalence_pred7d_025,pointprevalence_pred7d_50,pointprevalence_pred7d_975,pointprevalence_pred14d_025,pointprevalence_pred14d_50,pointprevalence_pred14d_975
3549,CanadaOntarioNorthwestern,Ontario,Northwestern,2021-12-10 06:21:56.805387,2021-12-10 00:00:00.000000,2:07:41.721346,0.13342002,0.38251650,0.70083057,99,286,524,2021-12-09,21.43194479,13.09998915,0.09584853,0.43084228,0.90252594,0.05578007,0.49458613,1.34657871
3553,CanadaOntarioPeel,Ontario,Peel,2021-12-10 08:05:44.464125,2021-12-10 00:00:00.000000,3:51:32.336501,0.22003855,0.39130545,0.69577351,3417,6077,10805,2021-12-09,72.39305023,10.22125000,0.23014700,0.46110127,0.76496439,0.23115823,0.50467707,1.04069408
3555,CanadaOntarioPeterborough,Ontario,Peterborough,2021-12-10 06:52:51.046642,2021-12-10 00:00:00.000000,2:39:02.267900,0.45880623,0.84459041,1.41158435,661,1218,2036,2021-12-09,12.96095007,11.49120467,0.45864731,0.98000244,2.11201729,0.41730521,1.11235136,3.10033350
3556,CanadaOntarioPorcupine,Ontario,Porcupine,2021-12-10 06:50:28.804547,2021-12-10 00:00:00.000000,2:47:50.007718,0.01990287,0.05874433,0.19440830,18,53,176,2021-12-09,14.15950573,12.70763100,0.00950043,0.03797767,0.17550813,0.00401799,0.02408108,0.15648301
3557,CanadaOntarioRenfrew,Ontario,Renfrew,2021-12-10 06:19:35.305685,2021-12-10 00:00:00.000000,2:05:52.351217,1.23093748,1.78356836,2.90620928,1311,1900,3097,2021-12-09,8.36444731,12.86681322,1.74772627,3.20571940,6.05485116,2.28722628,5.06012671,10.62392430
3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2021-12-10 08:01:25.535314,2021-12-10 00:00:00.000000,3:47:52.157953,0.71113969,0.91045797,1.14707370,3997,5118,6448,2021-12-09,24.67707714,7.42612950,0.79750580,1.02621964,1.29602313,0.88920712,1.14737421,1.44927171
3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2021-12-10 06:43:58.820499,2021-12-10 00:00:00.000000,2:30:28.076201,1.70599605,2.32608210,3.31376169,3569,4867,6933,2021-12-09,25.47297519,13.03474684,1.58192674,2.19084697,3.60496430,1.27410989,2.07761812,3.48360333
3561,CanadaOntarioSudbury,Ontario,Sudbury,2021-12-10 07:05:24.006209,2021-12-10 00:00:00.000000,2:51:59.406930,2.56397784,3.97100207,6.37380276,5196,8048,12918,2021-12-09,11.44621958,10.69479074,2.09607118,4.13665865,8.04480828,1.94207657,4.07791578,9.63911482
3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2021-12-10 06:52:49.893756,2021-12-10 00:00:00.000000,2:39:38.515440,1.85290285,2.59137082,3.49471327,2861,4002,5397,2021-12-09,32.10951916,13.35779354,2.40259540,3.80753588,5.49832122,2.63661586,5.15011950,7.93426756
3563,CanadaOntarioTimiskaming,Ontario,Timiskaming,2021-12-10 06:12:11.253082,2021-12-10 00:00:00.000000,1:59:06.692620,0.32123218,0.64867937,1.66529257,107,216,556,2021-12-09,2.01260995,5.24520956,0.18256489,0.43558797,1.14144223,0.09527269,0.27804156,0.82695185
3565,CanadaOntarioWaterloo,Ontario,Waterloo,2021-12-10 07:14:50.643350,2021-12-10 00:00:00.000000,3:01:54.318271,0.60842395,1.17166479,1.62769314,3475,6692,9297,2021-12-09,23.68983719,8.54367630,0.65927192,1.28908176,2.29762243,0.64005325,1.54129979,3.27384355
3566,CanadaOntarioWellingtonDufferinGuelph,Ontario,Wellington Dufferin Guelph,2021-12-07 08:23:38.541347,2021-12-07 00:00:00.000000,4:04:54.923322,0.26786633,0.29186327,0.37259439,814,887,1133,2021-12-06,31.56999793,7.69829979,0.26771934,0.29549876,0.38296839,0.26528631,0.29813206,0.39174628
3568,CanadaOntarioWindsor-Essex,Ontario,Windsor-Essex,2021-12-10 06:56:10.673874,2021-12-10 00:00:00.000000,2:54:26.005541,1.10429079,1.82924292,2.88279378,3852,6381,10056,2021-12-09,35.73689404,7.72404992,0.92118092,2.02571398,3.64062920,0.72512212,2.22836842,4.99630711
3570,CanadaOntarioYork,Ontario,York,2021-12-07 19:01:07.316978,2021-12-07 00:00:00.000000,4:07:41.170554,0.36541293,0.57810148,0.98094920,4387,6941,11778,2021-12-06,26.99392704,6.04552911,0.42603712,0.82946783,1.61527042,0.49259029,1.12400898,2.73933147
1100,CanadaPEIPrinceEdwardIsland,PEI,Prince Edward Island,2021-12-10 06:01:50.053411,2021-12-10 00:00:00.000000,1:49:09.601937,0.42275927,0.82988981,1.28212912,574,1127,1741,2021-12-09,0.18063018,5.14010569,0.47605844,1.12701838,2.16258648,0.54690538,1.53070854,3.57305839
2403,CanadaQuebecCapitale-Nationale,Quebec,Capitale-Nationale,2021-12-07 08:05:51.191088,2021-12-07 00:00:00.000000,3:47:57.372829,0.22175720,0.39802759,0.75114149,1553,2788,5263,2021-12-06,26.97847640,5.65954496,0.20693451,0.48753346,1.21283402,0.17925837,0.66938404,2.24985783
2412,CanadaQuebecChaudière-Appalaches,Quebec,Chaudière-Appalaches,2021-12-10 07:41:24.225406,2021-12-10 00:00:00.000000,3:28:46.652016,1.28313365,1.93950969,2.83196204,5453,8243,12036,2021-12-09,35.84922491,7.71370300,1.25276699,2.50980657,3.80448941,1.13009935,3.06067415,5.32900730
2405,CanadaQuebecEstrie,Quebec,Estrie,2021-12-10 07:40:55.437388,2021-12-10 00:00:00.000000,3:28:25.878688,1.52500586,2.45324797,4.12262834,7829,12595,21166,2021-12-09,19.38848108,6.52759662,1.48675434,3.22643760,5.41054202,1.45867930,3.66546354,7.21377196
2411,CanadaQuebecGaspésie-Îles-de-la-Madeleine,Quebec,Gaspésie-Îles-de-la-Madeleine,2021-12-10 06:30:51.250268,2021-12-10 00:00:00.000000,2:18:36.196320,0.15806227,0.36264969,0.65293157,134,308,555,2021-12-09,26.90974532,11.08326841,0.13113634,0.41575868,1.03778961,0.10212249,0.49755205,1.52658772
2414,CanadaQuebecLanaudière,Quebec,Lanaudière,2021-12-10 07:43:01.663237,2021-12-10 00:00:00.000000,3:30:53.554007,1.08330414,1.86418255,2.74784406,4817,8290,12220,2021-12-09,29.87985006,5.72509504,1.35795674,2.39149797,3.67766391,1.55349008,3.07717775,4.83498294
2415,CanadaQuebecLaurentides,Quebec,Laurentides,2021-12-10 07:39:09.764313,2021-12-10 00:00:00.000000,3:26:56.839905,1.10523040,2.25217752,3.29360980,6361,12962,18956,2021-12-09,25.95454614,6.52501010,1.19472639,2.65543298,3.74625036,1.20344853,2.91972619,4.36661959
2413,CanadaQuebecLaval,Quebec,Laval,2021-12-10 07:46:59.640932,2021-12-10 00:00:00.000000,3:34:44.625093,1.31600561,1.80569963,2.35087144,5768,7914,10304,2021-12-09,66.16866452,8.39502198,1.56574128,2.63864096,3.92440118,1.83783903,3.57758149,5.34700244
2404,CanadaQuebecMauricie,Quebec,Mauricie,2021-12-10 07:41:25.917994,2021-12-10 00:00:00.000000,3:29:11.145214,0.92245731,1.57314249,2.76388840,4778,8149,14318,2021-12-09,22.83056801,7.23546899,1.39197611,2.64417657,4.34794380,2.01167412,4.45509533,7.14206981
2416,CanadaQuebecMontérégie,Quebec,Montérégie,2021-12-07 08:00:38.288149,2021-12-07 00:00:00.000000,3:45:08.506923,0.73124464,1.05250675,1.49893405,10023,14427,20546,2021-12-06,23.42321798,6.02589967,0.70923082,1.21688053,2.16179594,0.63975391,1.37884978,3.28684477
